# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCats=EBlowR9,EBhighR9,EElowR9,EEhighR9

# photonCat       mean_change    sigma_change    rate_change
diphotonCat=0
proc=ggh
EBlowR9scale        0.0007     0.0153     0.0026    
EBlowR9smear        0.0000     0.0023     0.0000    
EBhighR9scale       0.0017     0.0295     0.0038    
EBhighR9smear       0.0000     0.0041     0.0008    
EElowR9scale        0.0000     0.0004     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0001     0.0077     0.0000    
EEhighR9smear       0.0001     0.0102     0.0000    

diphotonCat=0
proc=vbf
EBlowR9scale        0.0007     0.0103     0.0007    
EBlowR9smear        0.0000     0.0014     0.0003    
EBhighR9scale       0.0018     0.0070     0.0014    
EBhighR9smear       0.0000     0.0092     0.0007    
EElowR9scale        0.0000     0.0006     0.0000    
EElowR9smear        0.0000     0.0006     0.0000    
EEhighR9scale       0.0000     0.0027     0.0004    
EEhighR9smear       0.0000     0.0021     0.0004    

diphotonCat=0
proc=wh
EBlowR9scale        0.0007     0.0117     0.0021    
EBlowR9smear        0.0000     0.0037     0.0000    
EBhighR9scale       0.0019     0.0077     0.0023    
EBhighR9smear       0.0000     0.0099     0.0012    
EElowR9scale        0.0000     0.0002     0.0000    
EElowR9smear        0.0000     0.0002     0.0000    
EEhighR9scale       0.0001     0.0035     0.0005    
EEhighR9smear       0.0000     0.0027     0.0005    

diphotonCat=0
proc=zh
EBlowR9scale        0.0005     0.0033     0.0040    
EBlowR9smear        0.0000     0.0007     0.0000    
EBhighR9scale       0.0019     0.0305     0.0051    
EBhighR9smear       0.0000     0.0006     0.0000    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0000     0.0000     0.0000    
EEhighR9smear       0.0000     0.0000     0.0000    

diphotonCat=0
proc=tth
EBlowR9scale        0.0006     0.0175     0.0011    
EBlowR9smear        0.0000     0.0017     0.0000    
EBhighR9scale       0.0018     0.0016     0.0017    
EBhighR9smear       0.0000     0.0021     0.0005    
EElowR9scale        0.0000     0.0006     0.0000    
EElowR9smear        0.0000     0.0006     0.0000    
EEhighR9scale       0.0001     0.0019     0.0000    
EEhighR9smear       0.0000     0.0055     0.0000    

diphotonCat=1
proc=ggh
EBlowR9scale        0.0005     0.0022     0.0004    
EBlowR9smear        0.0000     0.0004     0.0001    
EBhighR9scale       0.0018     0.0221     0.0011    
EBhighR9smear       0.0000     0.0062     0.0003    
EElowR9scale        0.0000     0.0007     0.0002    
EElowR9smear        0.0000     0.0007     0.0002    
EEhighR9scale       0.0001     0.0009     0.0003    
EEhighR9smear       0.0000     0.0015     0.0004    

diphotonCat=1
proc=vbf
EBlowR9scale        0.0007     0.0092     0.0003    
EBlowR9smear        0.0000     0.0034     0.0002    
EBhighR9scale       0.0017     0.0402     0.0003    
EBhighR9smear       0.0000     0.0049     0.0002    
EElowR9scale        0.0000     0.0011     0.0001    
EElowR9smear        0.0000     0.0022     0.0001    
EEhighR9scale       0.0003     0.0027     0.0005    
EEhighR9smear       0.0000     0.0121     0.0005    

diphotonCat=1
proc=wh
EBlowR9scale        0.0007     0.0055     0.0018    
EBlowR9smear        0.0000     0.0021     0.0002    
EBhighR9scale       0.0019     0.0138     0.0016    
EBhighR9smear       0.0000     0.0096     0.0006    
EElowR9scale        0.0000     0.0019     0.0002    
EElowR9smear        0.0000     0.0009     0.0000    
EEhighR9scale       0.0004     0.0010     0.0004    
EEhighR9smear       0.0000     0.0091     0.0004    

diphotonCat=1
proc=zh
EBlowR9scale        0.0007     0.0081     0.0002    
EBlowR9smear        0.0000     0.0006     0.0002    
EBhighR9scale       0.0019     0.0395     0.0001    
EBhighR9smear       0.0000     0.0064     0.0002    
EElowR9scale        0.0000     0.0007     0.0004    
EElowR9smear        0.0000     0.0001     0.0002    
EEhighR9scale       0.0003     0.0046     0.0009    
EEhighR9smear       0.0000     0.0123     0.0008    

diphotonCat=1
proc=tth
EBlowR9scale        0.0008     0.0089     0.0008    
EBlowR9smear        0.0000     0.0004     0.0002    
EBhighR9scale       0.0018     0.0225     0.0002    
EBhighR9smear       0.0000     0.0048     0.0007    
EElowR9scale        0.0000     0.0004     0.0003    
EElowR9smear        0.0000     0.0005     0.0000    
EEhighR9scale       0.0003     0.0041     0.0003    
EEhighR9smear       0.0000     0.0125     0.0001    

diphotonCat=2
proc=ggh
EBlowR9scale        0.0008     0.0087     0.0004    
EBlowR9smear        0.0000     0.0021     0.0001    
EBhighR9scale       0.0017     0.0039     0.0007    
EBhighR9smear       0.0000     0.0058     0.0002    
EElowR9scale        0.0000     0.0006     0.0001    
EElowR9smear        0.0000     0.0004     0.0000    
EEhighR9scale       0.0003     0.0042     0.0003    
EEhighR9smear       0.0000     0.0095     0.0002    

diphotonCat=2
proc=vbf
EBlowR9scale        0.0009     0.0019     0.0013    
EBlowR9smear        0.0000     0.0023     0.0001    
EBhighR9scale       0.0017     0.0096     0.0005    
EBhighR9smear       0.0000     0.0039     0.0001    
EElowR9scale        0.0001     0.0006     0.0000    
EElowR9smear        0.0000     0.0038     0.0002    
EEhighR9scale       0.0007     0.0029     0.0008    
EEhighR9smear       0.0000     0.0195     0.0008    

diphotonCat=2
proc=wh
EBlowR9scale        0.0009     0.0129     0.0011    
EBlowR9smear        0.0000     0.0012     0.0003    
EBhighR9scale       0.0016     0.0073     0.0003    
EBhighR9smear       0.0000     0.0034     0.0003    
EElowR9scale        0.0001     0.0034     0.0003    
EElowR9smear        0.0000     0.0045     0.0000    
EEhighR9scale       0.0010     0.0230     0.0012    
EEhighR9smear       0.0000     0.0289     0.0005    

diphotonCat=2
proc=zh
EBlowR9scale        0.0009     0.0143     0.0021    
EBlowR9smear        0.0000     0.0007     0.0003    
EBhighR9scale       0.0016     0.0040     0.0006    
EBhighR9smear       0.0000     0.0033     0.0004    
EElowR9scale        0.0001     0.0041     0.0005    
EElowR9smear        0.0000     0.0039     0.0004    
EEhighR9scale       0.0010     0.0159     0.0004    
EEhighR9smear       0.0000     0.0279     0.0009    

diphotonCat=2
proc=tth
EBlowR9scale        0.0009     0.0121     0.0005    
EBlowR9smear        0.0000     0.0016     0.0002    
EBhighR9scale       0.0016     0.0127     0.0016    
EBhighR9smear       0.0000     0.0046     0.0007    
EElowR9scale        0.0001     0.0023     0.0008    
EElowR9smear        0.0000     0.0036     0.0003    
EEhighR9scale       0.0008     0.0129     0.0008    
EEhighR9smear       0.0000     0.0191     0.0007    

diphotonCat=3
proc=ggh
EBlowR9scale        0.0011     0.0034     0.0006    
EBlowR9smear        0.0000     0.0025     0.0001    
EBhighR9scale       0.0015     0.0052     0.0004    
EBhighR9smear       0.0000     0.0038     0.0003    
EElowR9scale        0.0002     0.0035     0.0004    
EElowR9smear        0.0000     0.0070     0.0001    
EEhighR9scale       0.0014     0.0083     0.0003    
EEhighR9smear       0.0000     0.0324     0.0002    

diphotonCat=3
proc=vbf
EBlowR9scale        0.0011     0.0018     0.0003    
EBlowR9smear        0.0000     0.0009     0.0002    
EBhighR9scale       0.0012     0.0034     0.0005    
EBhighR9smear       0.0000     0.0014     0.0000    
EElowR9scale        0.0003     0.0011     0.0002    
EElowR9smear        0.0000     0.0100     0.0002    
EEhighR9scale       0.0020     0.0125     0.0009    
EEhighR9smear       0.0000     0.0378     0.0004    

diphotonCat=3
proc=wh
EBlowR9scale        0.0010     0.0014     0.0017    
EBlowR9smear        0.0000     0.0012     0.0002    
EBhighR9scale       0.0011     0.0070     0.0007    
EBhighR9smear       0.0000     0.0025     0.0006    
EElowR9scale        0.0004     0.0059     0.0005    
EElowR9smear        0.0000     0.0125     0.0004    
EEhighR9scale       0.0025     0.0218     0.0019    
EEhighR9smear       0.0000     0.0480     0.0003    

diphotonCat=3
proc=zh
EBlowR9scale        0.0011     0.0111     0.0011    
EBlowR9smear        0.0000     0.0010     0.0003    
EBhighR9scale       0.0012     0.0085     0.0003    
EBhighR9smear       0.0000     0.0022     0.0002    
EElowR9scale        0.0004     0.0025     0.0004    
EElowR9smear        0.0000     0.0079     0.0007    
EEhighR9scale       0.0023     0.0236     0.0012    
EEhighR9smear       0.0000     0.0462     0.0010    

diphotonCat=3
proc=tth
EBlowR9scale        0.0011     0.0074     0.0004    
EBlowR9smear        0.0000     0.0001     0.0002    
EBhighR9scale       0.0012     0.0014     0.0008    
EBhighR9smear       0.0000     0.0024     0.0002    
